#,R_fighter,B_fighter,date,location,country,Winner,weight_class,gender,no_of_rounds,B_losses,B_total_rounds_fought,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_losses,R_total_rounds_fought,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,win_dif,loss_dif,height_dif,reach_dif,age_dif,better_rank
3352,Chris Weidman,Anderson Silva,12/28/2013,"Las Vegas, Nevada, USA", USA,Red,Middleweight,MALE,5,1,37,16,Southpaw,187.96,195.58,185,0,12,6,Orthodox,187.96,198.12,185,29,38,-1,-6,10,-1,0.0,-2.54,-9,Red
3353,Ronda Rousey,Miesha Tate,12/28/2013,"Las Vegas, Nevada, USA", USA,Red,Women's Bantamweight,FEMALE,5,1,3,0,Orthodox,167.64,165.1,135,0,1,1,Orthodox,170.18,172.72,135,26,27,-1,-1,-1,-1,-2.54,-7.62,-1,Red
3354,Josh Barnett,Travis Browne,12/28/2013,"Las Vegas, Nevada, USA", USA,Blue,Heavyweight,MALE,3,2,12,6,Orthodox,198.12,200.66,255,1,10,5,Orthodox,190.5,198.12,250,36,31,0,-2,1,-1,7.62,2.54,5,Blue
3355,Jim Miller,Fabricio Camoes,12/28/2013,"Las Vegas, Nevada, USA", USA,Red,Lightweight,MALE,3,3,9,1,Orthodox,177.8,185.42,155,4,37,11,Southpaw,172.72,180.34,155,30,35,0,0,-10,1,5.08,5.08,-5,Red
3356,Dustin Poirier,Diego Brandao,12/28/2013,"Las Vegas, Nevada, USA", USA,Red,Featherweight,MALE,3,1,11,4,Orthodox,170.18,172.72,145,2,20,6,Southpaw,175.26,182.88,155,24,26,0,2,-2,1,-5.08,-10.16,-2,Red
3357,Chris Leben,Uriah Hall,12/28/2013,"Las Vegas, Nevada, USA", USA,Blue,Middleweight,MALE,3,2,6,0,Orthodox,182.88,200.66,185,9,45,12,Southpaw,180.34,187.96,185,33,29,1,0,-12,7,2.54,12.7,4,neither
3358,Gleison Tibau,Michael Johnson,12/28/2013,"Las Vegas, Nevada, USA", USA,Blue,Lightweight,MALE,3,4,22,5,Southpaw,177.8,185.42,145,7,50,13,Southpaw,177.8,180.34,155,30,27,0,-1,-8,3,0.0,5.08,3,neither
3359,John Howard,Siyar Bahadurzada,12/28/2013,"Las Vegas, Nevada, USA", USA,Red,Welterweight,MALE,3,1,4,1,Orthodox,180.34,185.42,170,3,22,5,Orthodox,170.18,180.34,170,30,29,-1,-1,-4,2,10.16,5.08,1,neither
3360,William Patolino,Bobby Voelker,12/28/2013,"Las Vegas, Nevada, USA", USA,Red,Welterweight,MALE,3,2,5,0,Orthodox,182.88,190.5,170,1,2,0,Orthodox,180.34,190.5,170,22,34,-1,0,0,-1,2.54,0.0,-12,neither
3361,Robert Peralta,Estevan Payan,12/28/2013,"Las Vegas, Nevada, USA", USA,Red,Featherweight,MALE,3,1,3,0,Orthodox,177.8,182.88,145,2,10,2,Orthodox,172.72,180.34,145,27,31,0,0,-2,1,5.08,2.54,-4,neither
3362,Demetrious Johnson,Joseph Benavidez,12/14/2013,"Sacramento, California, USA", USA,Red,Flyweight,MALE,5,1,19,6,Southpaw,162.56,165.1,125,2,32,6,Orthodox,160.02,167.64,125,27,29,0,-1,0,1,2.54,-2.54,-2,Red
3363,Urijah Faber,Michael McDonald,12/14/2013,"Sacramento, California, USA", USA,Red,Bantamweight,MALE,3,1,14,5,Orthodox,175.26,177.8,135,2,23,5,Orthodox,167.64,170.18,135,34,22,0,-2,0,1,7.62,7.62,12,Red
3364,Chad Mendes,Nik Lentz,12/14/2013,"Sacramento, California, USA", USA,Red,Featherweight,MALE,3,4,32,8,Orthodox,172.72,172.72,155,1,13,6,Orthodox,167.64,167.64,145,28,29,0,-1,2,-3,5.08,5.08,-1,Red
3365,Joe Lauzon,Mac Danzig,12/14/2013,"Sacramento, California, USA", USA,Red,Lightweight,MALE,3,7,28,5,Orthodox,172.72,177.8,155,6,28,9,Orthodox,177.8,180.34,155,29,33,0,0,-4,-1,-5.08,-2.54,-4,neither
3366,Court McGee,Ryan LaFlare,12/14/2013,"Sacramento, California, USA", USA,Blue,Welterweight,MALE,3,0,6,2,Southpaw,185.42,187.96,170,2,20,5,Orthodox,180.34,190.5,170,29,30,0,0,-3,2,5.08,-2.54,-1,neither
3367,Danny Castillo,Edson Barboza,12/14/2013,"Sacramento, California, USA", USA,Blue,Lightweight,MALE,3,1,16,6,Orthodox,180.34,190.5,155,2,21,6,Orthodox,175.26,180.34,155,34,27,0,0,0,1,5.08,10.16,7,neither
3368,Bobby Green,Pat Healy,12/14/2013,"Sacramento, California, USA", USA,Red,Lightweight,MALE,3,3,7,0,Orthodox,182.88,187.96,155,0,4,2,Orthodox,177.8,180.34,155,27,30,-3,-2,-2,-3,5.08,7.62,-3,neither
3369,Scott Jorgensen,Zach Makovsky,12/14/2013,"Sacramento, California, USA", USA,Blue,Flyweight,MALE,3,0,0,0,Southpaw,162.56,162.56,125,3,14,3,Orthodox,165.1,167.64,135,31,30,1,0,-3,3,-2.54,-5.08,1,neither
3370,Sam Stout,Cody McKenzie,12/14/2013,"Sacramento, California, USA", USA,Red,Lightweight,MALE,3,3,10,3,Switch,182.88,182.88,155,8,44,8,Orthodox,175.26,177.8,155,29,25,1,1,-5,5,7.62,5.08,4,neither
3371,Abel Trujillo,Roger Bowling,12/14/2013,"Sacramento, California, USA", USA,Red,Lightweight,MALE,3,2,4,0,Orthodox,175.26,172.72,155,2,7,1,Orthodox,172.72,177.8,155,30,31,0,0,-1,0,2.54,-5.08,-1,neither
3372,Darren Uyenoyama,Alptekin Ozkilic,12/14/2013,"Sacramento, California, USA", USA,Blue,Flyweight,MALE,3,0,0,0,Orthodox,165.1,165.1,125,1,7,2,Orthodox,167.64,162.56,125,34,27,1,0,-2,1,-2.54,2.54,7,neither
3373,Mauricio Rua,James Te Huna,12/6/2013,"Brisbane, Queensland, Australia", Australia,Red,Light Heavyweight,MALE,3,2,13,5,Orthodox,187.96,190.5,185,6,30,5,Orthodox,185.42,193.04,205,32,32,1,0,0,4,2.54,-2.54,0,Red
3374,Ryan Bader,Anthony Perosh,12/6/2013,"Brisbane, Queensland, Australia", Australia,Red,Light Heavyweight,MALE,3,4,12,4,Orthodox,190.5,190.5,205,4,24,8,Orthodox,187.96,187.96,205,30,41,1,1,-4,0,2.54,2.54,-11,neither
3375,Pat Barry,Soa Palelei,12/6/2013,"Brisbane, Queensland, Australia", Australia,Blue,Heavyweight,MALE,3,1,6,1,Orthodox,193.04,205.74,265,6,18,5,Orthodox,180.34,187.96,235,34,36,1,1,-4,5,12.7,17.78,-2,neither
3376,Dylan Andrews,Clint Hester,12/6/2013,"Brisbane, Queensland, Australia", Australia,Blue,Middleweight,MALE,3,0,3,1,Orthodox,187.96,195.58,205,0,4,2,Switch,185.42,185.42,185,34,27,0,-1,-1,0,2.54,10.16,7,neither
3377,Julie Kedzie,Bethe Correia,12/6/2013,"Brisbane, Queensland, Australia", Australia,Blue,Women's Bantamweight,FEMALE,3,0,0,0,Orthodox,165.1,162.56,135,1,3,0,Orthodox,165.1,162.56,135,32,30,1,0,0,1,0.0,0.0,2,neither
3378,Takeya Mizugaki,Nam Phan,12/6/2013,"Brisbane, Queensland, Australia", Australia,Red,Bantamweight,MALE,3,4,18,2,Orthodox,167.64,177.8,135,2,20,5,Orthodox,170.18,172.72,135,29,30,-1,-3,-3,-2,-2.54,5.08,-1,Red
3379,Nick Ring,Caio Magalhaes,12/6/2013,"Brisbane, Queensland, Australia", Australia,Blue,Middleweight,MALE,3,1,5,1,Orthodox,185.42,185.42,185,2,15,3,Southpaw,182.88,187.96,185,34,25,1,1,-2,1,2.54,-2.54,9,neither
3380,Richie Vaculik,Justin Scoggins,12/6/2013,"Brisbane, Queensland, Australia", Australia,Blue,Flyweight,MALE,3,0,0,0,Southpaw,170.18,167.64,125,0,0,0,Orthodox,167.64,175.26,125,30,21,0,0,0,0,2.54,-7.62,9,neither
3381,Bruno Santos,Krzysztof Jotko,12/6/2013,"Brisbane, Queensland, Australia", Australia,Blue,Middleweight,MALE,3,0,0,0,Southpaw,185.42,195.58,185,0,0,0,Orthodox,175.26,175.26,185,26,24,0,0,0,0,10.16,20.32,2,neither
3382,Ben Wall,Alex Garcia,12/6/2013,"Brisbane, Queensland, Australia", Australia,Blue,Welterweight,MALE,3,0,0,0,Orthodox,175.26,182.88,170,0,0,0,Orthodox,177.8,185.42,155,24,26,0,0,0,0,-2.54,-2.54,-2,neither
3383,Gray Maynard,Nate Diaz,11/30/2013,"Las Vegas, Nevada, USA", USA,Blue,Lightweight,MALE,3,7,43,11,Southpaw,182.88,193.04,170,4,39,9,Orthodox,175.26,177.8,155,34,28,-1,0,2,-3,7.62,15.24,6,Red
3384,Julianna Pena,Jessica Rakoczy,11/30/2013,"Las Vegas, Nevada, USA", USA,Red,Women's Bantamweight,FEMALE,3,0,0,0,Orthodox,170.18,172.72,115,0,0,0,Orthodox,167.64,175.26,135,24,36,0,0,0,0,2.54,-2.54,-12,neither
3385,Chris Holdsworth,Davey Grant,11/30/2013,"Las Vegas, Nevada, USA", USA,Red,Bantamweight,MALE,3,0,0,0,Orthodox,172.72,175.26,135,0,0,0,Orthodox,180.34,180.34,135,26,27,0,0,0,0,-7.62,-5.08,-1,neither
3386,Jessamyn Duke,Peggy Morgan,11/30/2013,"Las Vegas, Nevada, USA", USA,Red,Women's Bantamweight,FEMALE,3,0,0,0,Orthodox,185.42,177.8,135,0,0,0,Orthodox,180.34,185.42,135,27,33,0,0,0,0,5.08,-7.62,-6,neither
3387,Roxanne Modafferi,Raquel Pennington,11/30/2013,"Las Vegas, Nevada, USA", USA,Blue,Women's Bantamweight,FEMALE,3,0,0,0,Orthodox,170.18,170.18,135,0,0,0,Orthodox,170.18,175.26,125,31,25,0,0,0,0,0.0,-5.08,6,neither
3388,Akira Corassani,Maximo Blanco,11/30/2013,"Las Vegas, Nevada, USA", USA,Red,Featherweight,MALE,3,1,6,1,Orthodox,172.72,180.34,145,0,6,2,Orthodox,172.72,172.72,145,31,30,0,-1,-1,-1,0.0,7.62,1,neither
3389,Rani Yahya,Tom Niinimaki,11/30/2013,"Las Vegas, Nevada, USA", USA,Blue,Featherweight,MALE,3,0,0,0,Orthodox,175.26,175.26,145,1,13,4,Orthodox,167.64,170.18,135,29,31,0,-3,-4,1,7.62,5.08,-2,neither
3390,Jared Rosholt,Walt Harris,11/30/2013,"Las Vegas, Nevada, USA", USA,Red,Heavyweight,MALE,3,0,0,0,Southpaw,195.58,195.58,250,0,0,0,Orthodox,187.96,190.5,265,27,30,0,0,0,0,7.62,5.08,-3,neither
3391,Sean Spencer,Drew Dober,11/30/2013,"Las Vegas, Nevada, USA", USA,Red,Welterweight,MALE,3,0,0,0,Southpaw,172.72,177.8,155,1,6,1,Southpaw,177.8,190.5,170,26,25,0,-1,-1,1,-5.08,-12.7,1,neither
3392,Joshua Sampo,Ryan Benoit,11/30/2013,"Las Vegas, Nevada, USA", USA,Red,Flyweight,MALE,3,0,0,0,Orthodox,165.1,172.72,125,0,0,0,Orthodox,162.56,162.56,125,29,24,0,0,0,0,2.54,10.16,5,neither
3393,Georges St-Pierre,Johny Hendricks,11/16/2013,"Las Vegas, Nevada, USA", USA,Red,Welterweight,MALE,5,1,24,10,Southpaw,175.26,175.26,185,2,63,18,Orthodox,180.34,193.04,185,32,30,0,-5,-8,1,-5.08,-17.78,2,Red
3394,Rashad Evans,Chael Sonnen,11/16/2013,"Las Vegas, Nevada, USA", USA,Red,Light Heavyweight,MALE,3,6,31,7,Southpaw,185.42,187.96,205,4,50,13,Orthodox,182.88,190.5,205,34,36,0,0,-6,-2,2.54,-2.54,-2,Red
3395,Rory MacDonald,Robbie Lawler,11/16/2013,"Las Vegas, Nevada, USA", USA,Blue,Welterweight,MALE,3,3,17,6,Southpaw,180.34,187.96,170,1,16,6,Orthodox,182.88,193.04,170,24,31,0,-3,0,-2,-2.54,-5.08,-7,Red
3396,Josh Koscheck,Tyron Woodley,11/16/2013,"Las Vegas, Nevada, USA", USA,Blue,Welterweight,MALE,3,1,4,1,Orthodox,175.26,187.96,170,7,48,15,Orthodox,177.8,185.42,170,35,31,1,0,-14,6,-2.54,2.54,4,neither
3397,Tim Elliott,Ali Bagautinov,11/16/2013,"Las Vegas, Nevada, USA", USA,Blue,Flyweight,MALE,3,0,3,1,Orthodox,162.56,165.1,125,1,9,2,Southpaw,170.18,167.64,135,26,28,0,-1,-1,1,-7.62,-2.54,-2,neither
3398,Donald Cerrone,Evan Dunham,11/16/2013,"Las Vegas, Nevada, USA", USA,Red,Lightweight,MALE,3,4,28,7,Southpaw,177.8,177.8,155,3,21,7,Orthodox,185.42,185.42,155,30,31,0,0,0,-1,-7.62,-7.62,-1,Red
3399,Ed Herman,Thales Leites,11/16/2013,"Las Vegas, Nevada, USA", USA,Blue,Middleweight,MALE,3,3,23,6,Orthodox,185.42,198.12,185,6,30,8,Orthodox,185.42,195.58,205,33,32,0,0,-2,3,0.0,2.54,1,neither
3400,Brian Ebersole,Rick Story,11/16/2013,"Las Vegas, Nevada, USA", USA,Blue,Welterweight,MALE,3,5,33,8,Southpaw,175.26,180.34,170,1,13,4,Southpaw,182.88,185.42,170,32,29,0,0,4,-4,-7.62,-5.08,3,neither
3401,Erik Perez,Edwin Figueroa,11/16/2013,"Las Vegas, Nevada, USA", USA,Red,Bantamweight,MALE,3,3,13,2,Orthodox,170.18,175.26,135,1,6,3,Orthodox,172.72,172.72,135,23,29,-1,0,-1,-2,-2.54,2.54,-6,neither
3402,Jason High,Anthony Lapsley,11/16/2013,"Las Vegas, Nevada, USA", USA,Red,Welterweight,MALE,3,0,0,0,Southpaw,175.26,180.34,170,2,5,1,Southpaw,172.72,180.34,155,32,33,0,-1,-1,2,2.54,0.0,-1,neither
3403,Will Campuzano,Sergio Pettis,11/16/2013,"Las Vegas, Nevada, USA", USA,Blue,Bantamweight,MALE,3,0,0,0,Orthodox,167.64,175.26,135,2,6,0,Orthodox,175.26,177.8,125,27,20,2,0,0,2,-7.62,-2.54,7,neither
3404,Cody Donovan,Gian Villante,11/16/2013,"Las Vegas, Nevada, USA", USA,Blue,Light Heavyweight,MALE,3,1,3,0,Orthodox,190.5,193.04,205,1,2,1,Orthodox,190.5,187.96,205,32,28,0,0,-1,0,0.0,5.08,4,neither
3405,Vitor Belfort,Dan Henderson,11/9/2013,"Goiania, Goias, Brazil", Brazil,Red,Light Heavyweight,MALE,5,4,30,6,Orthodox,180.34,187.96,185,6,28,12,Southpaw,182.88,187.96,185,36,43,-2,-2,-6,2,-2.54,0.0,-7,Blue
3406,Cezar Ferreira,Daniel Sarafian,11/9/2013,"Goiania, Goias, Brazil", Brazil,Red,Middleweight,MALE,3,1,4,1,Orthodox,175.26,185.42,185,0,4,2,Southpaw,185.42,198.12,185,28,31,0,-1,-1,-1,-10.16,-12.7,-3,neither
3407,Rafael Feijao,Igor Pokrajac,11/9/2013,"Goiania, Goias, Brazil", Brazil,Red,Light Heavyweight,MALE,3,6,23,4,Orthodox,182.88,193.04,205,1,1,0,Orthodox,185.42,185.42,205,33,34,-2,0,4,-5,-2.54,7.62,-1,neither
3408,Paulo Thiago,Brandon Thatch,11/9/2013,"Goiania, Goias, Brazil", Brazil,Blue,Welterweight,MALE,3,0,1,1,Switch,187.96,187.96,170,5,25,5,Orthodox,180.34,185.42,170,32,28,0,0,-4,5,7.62,2.54,4,neither
3409,Santiago Ponzinibbio,Ryan LaFlare,11/9/2013,"Goiania, Goias, Brazil", Brazil,Blue,Welterweight,MALE,3,0,3,1,Southpaw,185.42,187.96,170,0,0,0,Orthodox,182.88,185.42,170,27,30,0,1,1,0,2.54,2.54,-3,neither
3410,Rony Jason,Jeremy Stephens,11/9/2013,"Goiania, Goias, Brazil", Brazil,Blue,Featherweight,MALE,3,8,41,8,Orthodox,172.72,180.34,145,0,6,3,Orthodox,170.18,177.8,145,29,27,0,-2,5,-8,2.54,2.54,2,neither
3411,Godofredo Pepey,Sam Sicilia,11/9/2013,"Goiania, Goias, Brazil", Brazil,Blue,Featherweight,MALE,3,2,7,1,Orthodox,172.72,170.18,145,2,7,1,Orthodox,170.18,185.42,145,26,27,-1,0,0,0,2.54,-15.24,-1,neither
3412,Thiago Perpetuo,Omari Akhmedov,11/9/2013,"Goiania, Goias, Brazil", Brazil,Blue,Middleweight,MALE,3,0,0,0,Orthodox,182.88,185.42,185,0,3,1,Orthodox,177.8,180.34,170,25,26,0,-1,-1,0,5.08,5.08,-1,neither
3413,Thiago Tavares,Justin Salas,11/9/2013,"Goiania, Goias, Brazil", Brazil,Red,Lightweight,MALE,3,1,7,2,Southpaw,172.72,177.8,155,6,31,7,Orthodox,170.18,172.72,145,29,31,1,1,-5,5,2.54,5.08,-2,neither
3414,Adriano Martins,Daron Cruickshank,11/9/2013,"Goiania, Goias, Brazil", Brazil,Red,Lightweight,MALE,3,1,11,3,Switch,172.72,182.88,155,0,0,0,Southpaw,177.8,182.88,155,30,28,0,1,3,-1,-5.08,0.0,2,neither
3415,Jose Maria,Dustin Ortiz,11/9/2013,"Goiania, Goias, Brazil", Brazil,Blue,Flyweight,MALE,3,0,0,0,Orthodox,165.1,165.1,125,1,2,0,Orthodox,165.1,165.0,125,31,24,1,0,0,1,0.0,0.1,7,neither
3416,Tim Kennedy,Rafael Natal,11/6/2013,"Fort Campbell, Kentucky, USA", USA,Red,Middleweight,MALE,5,3,23,5,Orthodox,182.88,193.04,185,0,3,1,Orthodox,180.34,187.96,185,34,30,0,2,4,-3,2.54,5.08,4,neither
3417,Liz Carmouche,Alexis Davis,11/6/2013,"Fort Campbell, Kentucky, USA", USA,Blue,Women's Bantamweight,FEMALE,3,0,3,1,Orthodox,167.64,172.72,125,1,3,1,Orthodox,167.64,167.64,125,29,29,0,0,0,1,0.0,5.08,0,Red
3418,Ronny Markes,Yoel Romero,11/6/2013,"Fort Campbell, Kentucky, USA", USA,Blue,Middleweight,MALE,3,0,1,1,Southpaw,182.88,185.42,185,0,9,3,Orthodox,185.42,190.5,185,25,36,0,-2,-2,0,-2.54,-5.08,-11,neither
3419,Jorge Masvidal,Rustam Khabilov,11/6/2013,"Fort Campbell, Kentucky, USA", USA,Blue,Lightweight,MALE,3,0,2,2,Orthodox,172.72,185.42,155,0,5,2,Orthodox,180.34,187.96,170,28,27,0,0,0,0,-7.62,-2.54,1,neither
3420,Colton Smith,Michael Chiesa,11/6/2013,"Fort Campbell, Kentucky, USA", USA,Blue,Lightweight,MALE,3,1,5,2,Southpaw,185.42,190.5,170,1,6,1,Orthodox,182.88,180.34,155,26,25,0,0,1,0,2.54,10.16,1,neither
3421,Bobby Green,James Krause,11/6/2013,"Fort Campbell, Kentucky, USA", USA,Red,Lightweight,MALE,3,0,3,1,Orthodox,187.96,185.42,170,0,3,1,Orthodox,177.8,180.34,155,27,27,0,0,0,0,10.16,5.08,0,neither
3422,George Roop,Francisco Rivera,11/6/2013,"Fort Campbell, Kentucky, USA", USA,Blue,Bantamweight,MALE,3,2,9,2,Orthodox,172.72,172.72,135,5,22,4,Orthodox,185.42,182.88,135,31,32,0,-1,-2,3,-12.7,-10.16,-1,neither
3423,Dennis Bermudez,Steven Siler,11/6/2013,"Fort Campbell, Kentucky, USA", USA,Red,Featherweight,MALE,3,1,14,5,Orthodox,180.34,177.8,145,1,11,4,Orthodox,167.64,167.64,155,26,26,0,-2,1,0,12.7,10.16,0,neither
3424,Amanda Nunes,Germaine de Randamie,11/6/2013,"Fort Campbell, Kentucky, USA", USA,Red,Women's Bantamweight,FEMALE,3,0,3,1,Orthodox,175.26,180.34,135,0,1,1,Orthodox,172.72,175.26,145,25,29,0,0,0,0,2.54,5.08,-4,Red
3425,Chris Camozzi,Lorenz Larkin,11/6/2013,"Fort Campbell, Kentucky, USA", USA,Blue,Middleweight,MALE,3,1,3,0,Orthodox,180.34,182.88,170,3,23,6,Orthodox,187.96,193.04,185,26,27,0,0,-6,2,-7.62,-10.16,-1,neither
3426,Neil Magny,Seth Baczynski,11/6/2013,"Fort Campbell, Kentucky, USA", USA,Blue,Welterweight,MALE,3,3,15,4,Orthodox,190.5,187.96,170,1,4,1,Orthodox,190.5,203.2,170,26,32,-1,0,3,-2,0.0,-15.24,-6,neither
3427,Derek Brunson,Brian Houston,11/6/2013,"Fort Campbell, Kentucky, USA", USA,Red,Middleweight,MALE,3,0,0,0,Orthodox,187.96,198.12,185,0,3,1,Southpaw,185.42,195.58,185,29,32,0,-1,-1,0,2.54,2.54,-3,neither
3428,Lyoto Machida,Mark Munoz,10/26/2013,"Manchester, England, United Kingdom", United Kingdom,Red,Middleweight,MALE,5,3,24,8,Orthodox,182.88,182.88,185,4,38,11,Southpaw,185.42,187.96,185,35,35,1,1,-3,1,-2.54,-5.08,0,Blue
3429,Jimi Manuwa,Ryan Jimmo,10/26/2013,"Manchester, England, United Kingdom", United Kingdom,Red,Light Heavyweight,MALE,3,1,7,2,Orthodox,185.42,185.42,205,0,3,2,Orthodox,185.42,200.66,205,33,31,0,-1,0,-1,0.0,-15.24,2,neither
3430,Norman Parke,Jon Tuck,10/26/2013,"Manchester, England, United Kingdom", United Kingdom,Red,Lightweight,MALE,3,0,3,1,Orthodox,180.34,185.42,155,0,6,2,Southpaw,180.34,177.8,155,26,29,0,-1,-1,0,0.0,7.62,-3,neither
3431,Alessio Sakara,Nico Musoke,10/26/2013,"Manchester, England, United Kingdom", United Kingdom,Blue,Middleweight,MALE,3,0,0,0,Orthodox,182.88,190.5,170,8,21,6,Orthodox,182.88,182.88,185,32,27,3,0,-6,8,0.0,7.62,5,neither
3432,Phil Harris,John Lineker,10/26/2013,"Manchester, England, United Kingdom", United Kingdom,Blue,Flyweight,MALE,3,1,9,3,Orthodox,160.02,170.18,135,1,5,1,Orthodox,162.56,162.56,125,30,23,0,2,2,0,-2.54,7.62,7,Blue
3433,Al Iaquinta,Piotr Hallmann,10/26/2013,"Manchester, England, United Kingdom", United Kingdom,Red,Lightweight,MALE,3,0,2,1,Orthodox,175.26,180.34,155,1,4,1,Orthodox,177.8,177.8,155,26,26,0,0,0,1,-2.54,2.54,0,neither
3434,Luke Barnatt,Andrew Craig,10/26/2013,"Manchester, England, United Kingdom", United Kingdom,Red,Middleweight,MALE,3,1,11,3,Orthodox,185.42,193.04,170,0,3,1,Orthodox,198.12,195.58,185,25,27,0,0,2,-1,-12.7,-2.54,-2,neither
3435,Rosi Sexton,Jessica Andrade,10/26/2013,"Manchester, England, United Kingdom", United Kingdom,Blue,Women's Bantamweight,FEMALE,3,1,2,0,Orthodox,154.94,157.48,115,1,3,0,Orthodox,160.02,160.02,135,36,22,0,0,0,0,-5.08,-2.54,14,neither
3436,Andy Ogle,Cole Miller,10/26/2013,"Manchester, England, United Kingdom", United Kingdom,Blue,Featherweight,MALE,3,6,29,8,Orthodox,185.42,187.96,145,1,6,1,Orthodox,172.72,175.26,145,24,29,-1,-1,7,-5,12.7,12.7,-5,neither
3437,Jimy Hettes,Rob Whiteford,10/26/2013,"Manchester, England, United Kingdom", United Kingdom,Red,Featherweight,MALE,3,0,0,0,Southpaw,175.26,175.26,145,1,8,2,Southpaw,175.26,180.34,145,26,30,1,0,-2,1,0.0,-5.08,-4,neither
3438,Bradley Scott,Michael Kuiper,10/26/2013,"Manchester, England, United Kingdom", United Kingdom,Red,Middleweight,MALE,3,2,7,1,Orthodox,182.88,185.42,185,1,3,0,Orthodox,185.42,193.04,170,24,24,0,0,1,-1,-2.54,-7.62,0,neither
3439,Cain Velasquez,Junior Dos Santos,10/19/2013,"Houston, Texas, USA", USA,Red,Heavyweight,MALE,5,1,24,10,Orthodox,193.04,195.58,238,1,19,10,Orthodox,185.42,195.58,240,31,29,0,-2,0,0,7.62,0.0,2,Red
3440,Daniel Cormier,Roy Nelson,10/19/2013,"Houston, Texas, USA", USA,Red,Heavyweight,MALE,3,4,20,6,Orthodox,182.88,182.88,263,0,3,1,Orthodox,180.34,182.88,235,34,37,-1,-1,5,-4,2.54,0.0,-3,Red
3441,Gilbert Melendez,Diego Sanchez,10/19/2013,"Houston, Texas, USA", USA,Red,Lightweight,MALE,3,5,49,13,Southpaw,177.8,182.88,170,1,5,0,Orthodox,175.26,185.42,145,31,31,1,1,13,-4,2.54,-2.54,0,Red
3442,Gabriel Gonzaga,Shawn Jordan,10/19/2013,"Houston, Texas, USA", USA,Red,Heavyweight,MALE,3,1,8,3,Southpaw,182.88,190.5,260,6,25,10,Orthodox,187.96,193.04,242,34,28,0,1,-7,5,-5.08,-2.54,6,neither
3443,John Dodson,Darrell Montague,10/19/2013,"Houston, Texas, USA", USA,Red,Flyweight,MALE,3,0,0,0,Southpaw,167.64,170.18,125,1,11,3,Orthodox,160.02,167.64,135,29,25,1,0,-3,1,7.62,2.54,4,Red
3444,Tim Boetsch,CB Dollaway,10/19/2013,"Houston, Texas, USA", USA,Red,Middleweight,MALE,3,4,20,7,Orthodox,187.96,193.04,185,5,30,7,Orthodox,182.88,187.96,185,32,30,2,2,0,1,5.08,5.08,2,Red
3445,Nate Marquardt,Hector Lombard,10/19/2013,"Houston, Texas, USA", USA,Blue,Welterweight,MALE,3,2,7,1,Southpaw,175.26,180.34,185,5,33,10,Orthodox,182.88,187.96,185,34,35,0,0,-9,3,-7.62,-7.62,-1,neither
3446,George Sotiropoulos,KJ Noons,10/19/2013,"Houston, Texas, USA", USA,Blue,Lightweight,MALE,3,1,3,0,Orthodox,177.8,182.88,155,3,22,7,Orthodox,177.8,180.34,155,36,30,2,0,-7,2,0.0,2.54,6,neither
3447,TJ Waldburger,Adlan Amagov,10/19/2013,"Houston, Texas, USA", USA,Blue,Welterweight,MALE,3,0,3,1,Orthodox,187.96,193.04,170,2,11,4,Orthodox,180.34,190.5,170,25,26,0,0,-3,2,7.62,2.54,-1,neither
3448,Tony Ferguson,Mike Rio,10/19/2013,"Houston, Texas, USA", USA,Red,Lightweight,MALE,3,1,4,1,Orthodox,177.8,180.34,155,1,8,3,Orthodox,180.34,193.04,155,29,32,0,0,-2,0,-2.54,-12.7,-3,neither
3449,Jeremy Larsen,Andre Fili,10/19/2013,"Houston, Texas, USA", USA,Blue,Featherweight,MALE,3,0,0,0,Orthodox,180.34,187.96,145,2,4,0,Orthodox,177.8,177.8,145,29,23,2,0,0,2,2.54,10.16,6,neither
3450,Dustin Pague,Kyoji Horiguchi,10/19/2013,"Houston, Texas, USA", USA,Blue,Bantamweight,MALE,3,0,0,0,Orthodox,165.1,167.64,125,4,11,1,Orthodox,175.26,187.96,135,26,23,3,0,-1,4,-10.16,-20.32,3,neither
3451,Demian Maia,Jake Shields,10/9/2013,"Barueri, Sao Paulo, Brazil", Brazil,Blue,Welterweight,MALE,5,3,18,3,Orthodox,182.88,182.88,170,4,37,12,Southpaw,185.42,182.88,170,35,34,0,-2,-9,1,-2.54,0.0,1,Red
3452,Erick Silva,Dong Hyun Kim,10/9/2013,"Barueri, Sao Paulo, Brazil", Brazil,Blue,Welterweight,MALE,3,3,29,8,Southpaw,187.96,193.04,170,2,7,3,Orthodox,182.88,187.96,170,29,31,0,1,5,-1,5.08,5.08,-2,neither
3453,Thiago Silva,Matt Hamill,10/9/2013,"Barueri, Sao Paulo, Brazil", Brazil,Red,Light Heavyweight,MALE,3,4,31,10,Orthodox,185.42,193.04,205,5,20,6,Orthodox,187.96,187.96,205,30,37,0,0,4,1,-2.54,5.08,-7,neither
