,Red,R_Reach_cms,Blue,B_Reach_cms,reach_dif,ganador,mejor_alcance
1138,Tim Means,190.5,Ricky Rainey,195.58,5.08,Tim Means,largo
1139,Raoni Barcelos,170.18,Chris Gutierrez,175.26,5.08,Raoni Barcelos,largo
1140,Alistair Overeem,203.2,Sergei Pavlovich,213.36,10.16,Alistair Overeem,largo
1141,Song Yadong,170.18,Vince Morales,177.8,7.62,Song Yadong,largo
1142,Li Jingliang,180.34,David Zawada,190.5,10.16,Li Jingliang,largo
1143,Wu Yanan,167.64,Lauren Mueller,170.18,2.54,Wu Yanan,largo
1144,Liu Pingyuan,182.88,Martin Day,185.42,2.54,Liu Pingyuan,largo
1145,Yan Xiaonan,160.02,Syuri Kondo,167.64,7.62,Yan Xiaonan,largo
1146,Cynthia Calvillo,162.56,Poliana Botelho,170.18,7.62,Cynthia Calvillo,largo
1147,Michel Prazeres,170.18,Bartosz Fabinski,190.5,20.32,Michel Prazeres,largo
1148,Alexandre Pantoja,170.18,Ulka Sasaki,180.34,10.16,Alexandre Pantoja,largo
1149,Laureano Staropoli,180.34,Hector Aldana,182.88,2.54,Laureano Staropoli,largo
1150,Michael Trizano,180.34,Luis Pena,190.5,10.16,Michael Trizano,largo
1151,Davi Ramos,177.8,John Gunther,182.88,5.08,Davi Ramos,largo
