,weight_class
1457,Featherweight
1458,Featherweight
1459,Lightweight
1460,Featherweight
1462,Welterweight
1463,Featherweight
1464,Lightweight
1465,Lightweight
1467,Bantamweight
1470,Featherweight
1472,Lightweight
1473,Lightweight
1475,Welterweight
1476,Featherweight
1477,Flyweight
1478,Bantamweight
1479,Welterweight
1480,Featherweight
1481,Welterweight
1482,Light Heavyweight
1483,Light Heavyweight
1484,Middleweight
1485,Welterweight
1486,Welterweight
1487,Lightweight
1488,Middleweight
1489,Welterweight
1490,Featherweight
1491,Featherweight
1492,Bantamweight
1493,Lightweight
1494,Middleweight
1495,Bantamweight
1497,Bantamweight
1498,Bantamweight
1499,Bantamweight
1500,Bantamweight
1501,Lightweight
1502,Middleweight
1503,Featherweight
1504,Heavyweight
1505,Flyweight
1506,Lightweight
1508,Lightweight
1509,Welterweight
1510,Lightweight
1513,Welterweight
1514,Light Heavyweight
1515,Heavyweight
1517,Bantamweight
1519,Middleweight
1520,Bantamweight
1522,Middleweight
1526,Middleweight
1527,Welterweight
1528,Featherweight
1529,Welterweight
1530,Featherweight
1531,Welterweight
1533,Featherweight
1534,Heavyweight
1536,Featherweight
1537,Heavyweight
1538,Heavyweight
1540,Welterweight
1541,Welterweight
1542,Middleweight
1543,Catch Weight
1544,Flyweight
1545,Lightweight
1546,Heavyweight
1547,Lightweight
1549,Flyweight
1550,Heavyweight
1551,Lightweight
1552,Welterweight
1553,Heavyweight
1554,Middleweight
1555,Bantamweight
1556,Lightweight
1557,Bantamweight
1559,Lightweight
1561,Welterweight
1562,Light Heavyweight
1563,Middleweight
1564,Middleweight
1565,Bantamweight
1567,Welterweight
1568,Middleweight
1569,Lightweight
1570,Heavyweight
1571,Light Heavyweight
1572,Welterweight
1573,Heavyweight
1574,Bantamweight
1575,Middleweight
1576,Welterweight
1577,Bantamweight
1578,Lightweight
1579,Middleweight
1580,Bantamweight
1581,Welterweight
1582,Middleweight
1583,Lightweight
1584,Welterweight
1585,Flyweight
1586,Heavyweight
1587,Welterweight
1589,Light Heavyweight
1590,Middleweight
1591,Lightweight
1592,Bantamweight
1593,Middleweight
1594,Featherweight
1595,Welterweight
1597,Featherweight
1598,Lightweight
1599,Flyweight
1600,Heavyweight
1602,Bantamweight
1604,Flyweight
1605,Flyweight
1606,Middleweight
1607,Light Heavyweight
1609,Lightweight
1610,Light Heavyweight
1611,Featherweight
1612,Flyweight
1613,Welterweight
1615,Welterweight
1616,Welterweight
1617,Middleweight
1618,Welterweight
1619,Middleweight
1620,Lightweight
1621,Welterweight
1622,Heavyweight
1623,Lightweight
1624,Heavyweight
1625,Middleweight
1626,Lightweight
1628,Welterweight
1629,Flyweight
1630,Light Heavyweight
1631,Featherweight
1634,Featherweight
1635,Lightweight
1636,Heavyweight
1637,Lightweight
1638,Heavyweight
1639,Middleweight
1641,Welterweight
1642,Welterweight
1643,Lightweight
1644,Lightweight
1645,Lightweight
1646,Light Heavyweight
1647,Featherweight
1648,Light Heavyweight
1649,Lightweight
1650,Flyweight
1652,Welterweight
1653,Featherweight
1654,Middleweight
1655,Bantamweight
1656,Middleweight
1657,Flyweight
1658,Bantamweight
1659,Bantamweight
1660,Flyweight
1661,Lightweight
1662,Welterweight
1664,Welterweight
1665,Light Heavyweight
1666,Featherweight
1667,Catch Weight
1668,Featherweight
1669,Featherweight
1671,Flyweight
1672,Lightweight
1673,Middleweight
1674,Featherweight
1675,Light Heavyweight
1676,Bantamweight
1677,Welterweight
1678,Middleweight
1679,Welterweight
1680,Heavyweight
1681,Featherweight
1682,Bantamweight
1683,Heavyweight
1684,Featherweight
1685,Lightweight
1686,Welterweight
1688,Lightweight
1689,Middleweight
1690,Light Heavyweight
1691,Heavyweight
1692,Welterweight
1693,Flyweight
1694,Welterweight
1695,Lightweight
1696,Bantamweight
1698,Middleweight
1699,Heavyweight
1700,Heavyweight
1701,Lightweight
1702,Bantamweight
1703,Heavyweight
1704,Welterweight
1705,Middleweight
1706,Welterweight
1707,Featherweight
1708,Light Heavyweight
1709,Lightweight
1710,Welterweight
1711,Light Heavyweight
1712,Middleweight
1713,Light Heavyweight
1715,Welterweight
1716,Light Heavyweight
1718,Featherweight
1719,Lightweight
1720,Middleweight
1722,Welterweight
1723,Featherweight
1724,Lightweight
1725,Middleweight
1726,Lightweight
1727,Featherweight
1728,Lightweight
1729,Light Heavyweight
1731,Heavyweight
1732,Welterweight
1733,Welterweight
1734,Lightweight
1735,Heavyweight
1736,Featherweight
1737,Flyweight
1738,Bantamweight
1739,Flyweight
1741,Heavyweight
1742,Middleweight
1743,Lightweight
1744,Light Heavyweight
1745,Flyweight
1746,Featherweight
1747,Lightweight
1748,Welterweight
1749,Flyweight
1750,Welterweight
1752,Featherweight
1754,Middleweight
1755,Middleweight
1756,Welterweight
1757,Bantamweight
1758,Bantamweight
1759,Bantamweight
1761,Welterweight
1762,Light Heavyweight
1763,Light Heavyweight
1764,Welterweight
1765,Welterweight
1766,Welterweight
1767,Middleweight
1768,Bantamweight
1769,Middleweight
1770,Lightweight
1771,Welterweight
1772,Welterweight
1773,Lightweight
1774,Heavyweight
1776,Welterweight
1777,Featherweight
1778,Middleweight
1779,Featherweight
1780,Heavyweight
1781,Lightweight
1783,Featherweight
1784,Light Heavyweight
1785,Featherweight
1786,Lightweight
1787,Light Heavyweight
1788,Bantamweight
1789,Lightweight
1790,Welterweight
1791,Middleweight
1792,Flyweight
1793,Lightweight
1796,Welterweight
1797,Flyweight
1798,Flyweight
1800,Middleweight
1801,Featherweight
1802,Heavyweight
1803,Bantamweight
1804,Lightweight
1805,Flyweight
1806,Bantamweight
1807,Light Heavyweight
1808,Middleweight
1809,Welterweight
1811,Light Heavyweight
1812,Middleweight
1814,Welterweight
1815,Lightweight
1816,Featherweight
1817,Welterweight
1818,Featherweight
1819,Light Heavyweight
1820,Lightweight
1821,Lightweight
1823,Flyweight
1824,Light Heavyweight
1825,Welterweight
1826,Catch Weight
1827,Featherweight
1828,Lightweight
1829,Light Heavyweight
1830,Heavyweight
1831,Welterweight
1832,Lightweight
1833,Middleweight
1835,Light Heavyweight
1836,Lightweight
1837,Flyweight
1838,Welterweight
1839,Lightweight
1840,Welterweight
1841,Bantamweight
1842,Lightweight
1843,Featherweight
1844,Middleweight
1845,Welterweight
1846,Lightweight
1847,Middleweight
1849,Heavyweight
1850,Heavyweight
1851,Featherweight
1852,Bantamweight
1853,Heavyweight
1854,Light Heavyweight
1855,Bantamweight
