,Red,R_Height_cms,Blue,B_Height_cms,height_dif,ganador,ganador_height
1439,Shawn Jordan,182.88,Derrick Lewis,190.5,7.62,Shawn Jordan,alto
1440,Francisco Trinaldo,175.26,Norman Parke,180.34,5.08,Francisco Trinaldo,alto
1441,Juliana Lima,165.1,Ericka Almeida,167.64,2.54,Juliana Lima,alto
1442,Joseph Benavidez,162.56,John Moraga,167.64,5.08,Joseph Benavidez,alto
1443,John Dodson,160.02,Zach Makovsky,162.56,2.54,John Dodson,alto
1444,Mark Munoz,182.88,Luke Barnatt,198.12,15.24,Mark Munoz,alto
1445,Li Jingliang,182.88,Dhiego Lima,187.96,5.08,Li Jingliang,alto
1446,Ning Guangyou,162.56,Royston Wee,170.18,7.62,Ning Guangyou,alto
1447,Alex Chambers,160.02,Kailin Curran,162.56,2.54,Alex Chambers,alto
1448,Demetrious Johnson,160.02,Kyoji Horiguchi,165.1,5.08,Demetrious Johnson,alto
1449,Michael Bisping,185.42,CB Dollaway,187.96,2.54,Michael Bisping,alto
1450,John Makdessi,172.72,Shane Campbell,182.88,10.16,John Makdessi,alto
1451,Patrick Cote,180.34,Joe Riggs,182.88,2.54,Patrick Cote,alto
1452,Chad Laprise,177.8,Bryan Barberena,182.88,5.08,Chad Laprise,alto
1453,Jacare Souza,185.42,Chris Camozzi,187.96,2.54,Jacare Souza,alto
1454,Diego Brandao,170.18,Jimy Hettes,175.26,5.08,Diego Brandao,alto
1455,Jimi Manuwa,185.42,Jan Blachowicz,187.96,2.54,Jimi Manuwa,alto
1456,Pawel Pawlak,182.88,Sheldon Westcott,185.42,2.54,Pawel Pawlak,alto
1457,Bartosz Fabinski,182.88,Garreth McLellan,185.42,2.54,Bartosz Fabinski,alto
1458,Taylor Lapilus,167.64,Rocky Lee,175.26,7.62,Taylor Lapilus,alto
1459,Chad Mendes,167.64,Ricardo Lamas,172.72,5.08,Chad Mendes,alto
1460,Clay Guida,170.18,Robert Peralta,172.72,2.54,Clay Guida,alto
1461,Liz Carmouche,167.64,Lauren Murphy,170.18,2.54,Liz Carmouche,alto
1462,Gilbert Burns,177.8,Alex Oliveira,180.34,2.54,Gilbert Burns,alto
1463,Godofredo Pepey,170.18,Andre Fili,180.34,10.16,Godofredo Pepey,alto
